message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,digest,business_update,"The message is from a verified bank and relates to an account update, but the user has opted out of promotions and has reported similar messages in the past.",0.78,message_0243;message_0092;message_0091
msg_091,mute,scam,"The message requests sensitive information under the guise of account security, which is a common scam tactic.",0.92,message_0238;message_0381;message_0321
msg_090,digest,personal,"The message is from a new sender and is non-urgent, allowing the user to respond at their convenience.",0.75,message_0339;message_0338
msg_048,mute,scam,"The message contains a suspicious QR code request and uses pressure tactics, similar to previously reported and dismissed messages.",0.9,message_0151;message_0152;message_0237
msg_040,mute,forward,"The message is a chain forward with a high forwarded count and is likely to be dismissed as spam, given the user's history of ignoring similar messages.",0.9,message_0136;message_0135;message_0052
msg_075,digest,business_update,"The message is a routine update from a verified business, but the user has a history of dismissing similar notifications, indicating they prefer to check these at their convenience.",0.8,message_0206;message_0205
msg_005,notify,event,"The message is a timely reminder for the user to collect an item, and the user has previously engaged positively with similar messages.",0.91,message_0065;message_0066;message_0332
msg_104,mute,personal,"The user has consistently dismissed similar messages from this sender, indicating low engagement and interest.",0.85,message_0383;message_0232;message_0224
msg_069,mute,greeting,"The message is a forwarded greeting that the user has previously muted and dismissed, indicating low value.",0.85,message_0194;message_0178;message_0177
msg_107,mute,scam,"The message is a phishing attempt requesting sensitive information under the guise of an OTP verification, which is suspicious and unsafe.",0.92,message_0235
msg_070,mute,scam,"The message is a phishing attempt requesting sensitive information under the guise of account security, which is a clear scam.",0.9,message_0213;message_0174;message_0173
msg_003,notify,business_update,"The message is a legitimate update from Amazon regarding a delivery the user is expecting, and the user has previously engaged positively with similar messages.",0.92,message_0400;message_0031;message_0061
msg_099,digest,personal,"The message is a reminder for a non-urgent task that can wait until the user is available, given their positive engagement history with the sender.",0.85,message_0055;message_0227;message_0228
msg_008,digest,business_update,"The user has a history of opening similar messages from this verified business but has dismissed many promotional requests, indicating they find these updates useful but not urgent.",0.78,message_0296;message_0072;message_0071
msg_092,mute,business_update,"The user has opted out of promotions and has reported similar messages from this business, indicating they do not want to receive such notifications.",0.85,message_0385
msg_060,notify,event,This is a time-sensitive reminder from a trusted admin about an important deadline that the user has engaged with positively in the past.,0.92,message_0284;message_0176;message_0404
msg_004,notify,business_update,The message is a legitimate health update from a verified business that the user has engaged with positively in the past.,0.92,message_0245;message_0005;message_0064
msg_030,mute,promotion,"The message is a marketplace promotion that the user has previously dismissed and muted, indicating low interest.",0.92,message_0115;message_0335;message_0050
msg_045,notify,urgent,This message is from a group member regarding a time-sensitive delivery that requires immediate action to avoid missing the package.,0.85,message_0146;message_0145
msg_052,mute,spam,Unverified business with domain mismatch and high report count.,0.83,message_0208;message_0207;message_0159
msg_009,digest,event,"The message is casual and related to a sports event, which can wait since the user has muted the group and has a history of dismissing similar messages.",0.8,message_0074;message_0073
msg_071,digest,event,The message is about a casual family plan that is not urgent and can wait for the user to check later.,0.8,message_0197;message_0198
msg_016,mute,scam,The message contains a suspicious URL that may be a phishing attempt.,0.92,message_0024;message_0202;message_0184
msg_065,digest,promotion,"The message is a promotional offer from a verified business that the user has opted into, but it is not urgent and can wait.",0.78,message_0261
msg_038,mute,forward,"The message is a chain forward with a high forwarded count, which the user has previously muted and dismissed similar content.",0.9,message_0131;message_0132;message_0082
msg_086,digest,business_update,"The message contains an update from a verified business, but the domain mismatch raises some suspicion. The user has previously engaged positively with similar messages.",0.75,message_0222;message_0144
msg_014,mute,promotion,The user has opted out of promotions from this business and has consistently dismissed similar promotional messages in the past.,0.92,message_0258;message_0018;message_0017
msg_094,mute,promotion,The user has opted out of promotions and has a strong history of dismissing similar promotional messages from this business.,0.92,message_0357;message_0203;message_0204
msg_029,digest,promotion,"The message is a casual marketplace post about selling clothing, which is useful but not urgent for the user.",0.8,message_0332;message_0066;message_0113
msg_105,mute,forward,The message is a forwarded health tip that the user has previously dismissed and muted similar content from this sender.,0.85,message_0373;message_0233
msg_002,notify,urgent,"The message is a direct mention from a coworker admin requesting immediate assistance before a client meeting, indicating urgency.",0.91,message_0003;message_0041;message_0266
msg_010,digest,promotion,"The message is a feedback request from a verified business, but the user has opted out of promotions, making it less urgent.",0.78,message_0011;message_0242;message_0075
msg_078,mute,scam,"The message requests sensitive information under the guise of urgency and has a high forwarded count, indicating it is likely a scam.",0.92,message_0211;message_0212;message_0389
msg_013,mute,promotion,The message is a promotional offer that the user has previously dismissed and muted similar content.,0.85,message_0081;message_0082;message_0131
msg_018,mute,spam,The message is a typical spam promotion that has been reported and dismissed by the user in the past.,0.9,message_0092;message_0091;message_0026
